date,low,high,open,close,volume
2019-11-30 20:00:00+00:00,2.486,2.497,2.495,2.491,189.2
2019-11-30 19:00:00+00:00,2.488,2.496,2.491,2.489,292.4
2019-11-30 18:00:00+00:00,2.483,2.493,2.489,2.493,789.9
2019-11-30 17:00:00+00:00,2.479,2.506,2.503,2.486,1274.3
2019-11-30 16:00:00+00:00,2.485,2.513,2.485,2.508,264.0
2019-11-30 15:00:00+00:00,2.481,2.496,2.489,2.49,84.1
2019-11-30 14:00:00+00:00,2.473,2.495,2.492,2.485,3544.1
2019-11-30 13:00:00+00:00,2.482,2.523,2.523,2.495,5521.6
2019-11-30 12:00:00+00:00,2.518,2.535,2.518,2.522,357.3
2019-11-30 11:00:00+00:00,2.511,2.53,2.53,2.512,727.0
2019-11-30 10:00:00+00:00,2.512,2.558,2.538,2.53,3764.8
2019-11-30 09:00:00+00:00,2.518,2.545,2.54,2.525,952.7
2019-11-30 08:00:00+00:00,2.536,2.548,2.548,2.538,1008.1
2019-11-30 07:00:00+00:00,2.541,2.553,2.541,2.55,667.3
2019-11-30 06:00:00+00:00,2.535,2.539,2.539,2.535,110.1
2019-11-30 05:00:00+00:00,2.519,2.541,2.519,2.541,119.2
2019-11-30 04:00:00+00:00,2.508,2.53,2.526,2.53,577.5
2019-11-30 03:00:00+00:00,2.526,2.533,2.528,2.53,50.4
2019-11-30 02:00:00+00:00,2.525,2.541,2.54,2.525,1390.0
2019-11-30 01:00:00+00:00,2.54,2.562,2.553,2.544,191.1
2019-11-30 00:00:00+00:00,2.533,2.55,2.533,2.55,3626.9
2019-11-29 23:00:00+00:00,2.525,2.543,2.526,2.543,434.8
2019-11-29 22:00:00+00:00,2.526,2.541,2.527,2.526,869.6
2019-11-29 21:00:00+00:00,2.525,2.543,2.543,2.526,5207.0
2019-11-29 20:00:00+00:00,2.533,2.543,2.535,2.538,1784.4
2019-11-29 19:00:00+00:00,2.533,2.546,2.54,2.535,84.0
2019-11-29 18:00:00+00:00,2.535,2.546,2.544,2.54,1713.0
2019-11-29 17:00:00+00:00,2.535,2.547,2.538,2.541,1465.8
2019-11-29 16:00:00+00:00,2.533,2.573,2.566,2.536,9458.5
2019-11-29 15:00:00+00:00,2.524,2.57,2.542,2.564,3553.4
2019-11-29 14:00:00+00:00,2.526,2.546,2.528,2.535,1109.0
2019-11-29 13:00:00+00:00,2.518,2.566,2.521,2.537,5565.1
2019-11-29 12:00:00+00:00,2.475,2.528,2.491,2.524,3293.5
2019-11-29 11:00:00+00:00,2.499,2.539,2.511,2.499,22688.8
