date,low,high,open,close,volume
2019-11-30 20:00:00+00:00,150.19,150.6,150.44,150.5,1.2178
2019-11-30 19:00:00+00:00,149.81,150.52,150.52,150.37,7.1498
2019-11-30 18:00:00+00:00,149.55,150.93,150.76,150.86,1.4659
2019-11-30 17:00:00+00:00,150.14,152.2,151.94,151.17,7.0338
2019-11-30 16:00:00+00:00,151.97,152.38,151.97,152.19,4.8019
2019-11-30 15:00:00+00:00,151.05,152.12,151.05,151.94,2.1945
2019-11-30 14:00:00+00:00,150.7,152.2,152.2,151.43,24.3244
2019-11-30 13:00:00+00:00,152.3,153.62,153.52,152.3,6.9673
2019-11-30 12:00:00+00:00,153.55,153.78,153.78,153.55,0.1677
2019-11-30 11:00:00+00:00,152.79,153.72,153.72,152.79,12.0419
2019-11-30 10:00:00+00:00,152.96,154.12,153.15,154.12,33.165
2019-11-30 09:00:00+00:00,153.14,154.52,154.52,153.15,2.1345
2019-11-30 08:00:00+00:00,154.47,155.23,155.23,154.47,6.561
2019-11-30 07:00:00+00:00,154.21,155.22,154.21,155.22,0.3093
2019-11-30 06:00:00+00:00,154.0,154.3,154.07,154.21,3.7343
2019-11-30 05:00:00+00:00,153.78,154.39,153.78,154.15,2.4087
2019-11-30 04:00:00+00:00,153.23,153.85,153.59,153.85,7.3532
2019-11-30 03:00:00+00:00,153.64,154.19,153.64,153.82,0.3069
2019-11-30 02:00:00+00:00,153.38,154.66,154.4,153.78,1.4684
2019-11-30 01:00:00+00:00,154.03,154.74,154.74,154.04,0.9762
2019-11-30 00:00:00+00:00,154.33,155.18,154.35,154.66,4.7574
2019-11-29 23:00:00+00:00,154.02,154.39,154.02,154.3,1.26
2019-11-29 22:00:00+00:00,152.42,153.45,152.42,153.45,2.8647
2019-11-29 21:00:00+00:00,152.59,153.98,153.76,152.77,12.9082
2019-11-29 20:00:00+00:00,154.0,155.31,154.6,154.0,15.7624
2019-11-29 19:00:00+00:00,154.41,155.13,154.8,154.68,4.0389
2019-11-29 18:00:00+00:00,154.56,154.86,154.56,154.81,0.5612
2019-11-29 17:00:00+00:00,154.8,155.66,154.81,154.97,6.1984
2019-11-29 16:00:00+00:00,154.59,157.21,157.21,155.1,16.6331
2019-11-29 15:00:00+00:00,155.96,157.74,157.13,157.01,14.6395
2019-11-29 14:00:00+00:00,156.03,157.21,156.03,156.71,1.6828
2019-11-29 13:00:00+00:00,154.97,157.19,154.97,155.95,5.4812
2019-11-29 12:00:00+00:00,151.92,155.11,151.93,154.97,37.5609
