date,low,high,open,close,volume
2019-11-30 20:00:00+00:00,36.29,36.69,36.29,36.69,14.89421834
2019-11-30 19:00:00+00:00,36.27,36.55,36.4,36.27,30.0067769
2019-11-30 18:00:00+00:00,36.36,36.68,36.52,36.36,52.9981841
2019-11-30 17:00:00+00:00,36.44,37.03,37.03,36.67,60.97638072
2019-11-30 16:00:00+00:00,36.88,37.2,37.08,36.97,108.95211005
2019-11-30 15:00:00+00:00,36.8,37.04,36.89,36.8,131.78776596
2019-11-30 14:00:00+00:00,36.9,37.26,37.16,37.0,341.91075739
2019-11-30 13:00:00+00:00,37.05,37.34,37.28,37.3,68.66845504
2019-11-30 12:00:00+00:00,37.03,37.43,37.14,37.38,244.66681637
2019-11-30 11:00:00+00:00,37.12,37.35,37.35,37.23,233.94393078
2019-11-30 10:00:00+00:00,37.23,37.71,37.7,37.25,188.88650109
2019-11-30 09:00:00+00:00,37.18,37.72,37.72,37.18,67.94300026
2019-11-30 08:00:00+00:00,37.59,37.81,37.81,37.64,71.76602898
2019-11-30 07:00:00+00:00,37.47,37.74,37.47,37.63,5.67325604
2019-11-30 06:00:00+00:00,37.52,37.68,37.64,37.52,12.67327913
2019-11-30 05:00:00+00:00,37.44,37.7,37.55,37.7,50.84402619
2019-11-30 04:00:00+00:00,37.26,37.45,37.37,37.45,17.21868205
2019-11-30 03:00:00+00:00,37.35,37.56,37.51,37.35,5.13622656
2019-11-30 02:00:00+00:00,37.62,37.79,37.69,37.62,2.60062989
2019-11-30 01:00:00+00:00,37.61,37.92,37.81,37.61,14.62421737
2019-11-30 00:00:00+00:00,37.62,37.81,37.68,37.8,11.85154832
2019-11-29 23:00:00+00:00,37.55,37.89,37.79,37.61,112.24046763
2019-11-29 22:00:00+00:00,37.6,37.91,37.6,37.8,73.45713277
2019-11-29 21:00:00+00:00,37.6,38.1,38.07,37.69,49.50115965
2019-11-29 20:00:00+00:00,37.87,38.35,37.98,38.17,226.95847439
2019-11-29 19:00:00+00:00,37.8,37.97,37.8,37.91,25.48490814
2019-11-29 18:00:00+00:00,37.68,38.0,37.77,37.68,118.92554798
2019-11-29 17:00:00+00:00,37.69,38.0,37.74,37.77,847.88024279
2019-11-29 16:00:00+00:00,37.53,37.89,37.83,37.57,54.89831458
2019-11-29 15:00:00+00:00,37.83,38.18,38.07,38.18,209.64366955
2019-11-29 14:00:00+00:00,37.79,38.17,37.98,38.01,444.90302918
2019-11-29 13:00:00+00:00,37.58,38.34,37.81,37.96,446.43836389
2019-11-29 12:00:00+00:00,37.18,37.94,37.3,37.71,224.71356613
2019-11-29 11:00:00+00:00,37.31,37.7,37.5,37.31,72.33043913
2019-11-29 10:00:00+00:00,37.52,37.9,37.59,37.52,100.10954665
2019-11-29 09:00:00+00:00,36.78,37.86,36.88,37.6,2376.35325049
2019-11-29 08:00:00+00:00,36.68,36.97,36.86,36.83,56.86969252
2019-11-29 07:00:00+00:00,36.7,36.95,36.85,36.92,47.32771648
2019-11-29 06:00:00+00:00,36.59,36.77,36.59,36.77,24.37857293
2019-11-29 05:00:00+00:00,36.46,36.87,36.87,36.46,176.58433564
2019-11-29 04:00:00+00:00,36.83,36.95,36.89,36.83,17.33612504
2019-11-29 03:00:00+00:00,36.77,37.11,36.77,36.91,23.46585586
2019-11-29 02:00:00+00:00,36.66,36.77,36.67,36.77,17.24115443
2019-11-29 01:00:00+00:00,36.5,36.76,36.68,36.68,286.73939222
2019-11-29 00:00:00+00:00,36.37,36.81,36.44,36.7,70.74273645
2019-11-28 23:00:00+00:00,36.0,36.52,36.0,36.44,161.66481308
2019-11-28 22:00:00+00:00,36.23,37.04,36.82,36.35,299.2430012
