date,low,high,open,close,volume
2019-11-30 20:00:00+00:00,46.74,47.34,46.8,47.34,3149.99658705
2019-11-30 19:00:00+00:00,46.75,47.2,47.05,46.8,2802.71495657
2019-11-30 18:00:00+00:00,46.93,47.38,47.25,47.04,3520.72011417
2019-11-30 17:00:00+00:00,46.71,47.88,47.83,47.25,7619.50620044
2019-11-30 16:00:00+00:00,47.46,48.09,47.68,47.86,2926.74345674
2019-11-30 15:00:00+00:00,47.32,47.84,47.57,47.68,3004.99320092
2019-11-30 14:00:00+00:00,47.47,48.09,48.06,47.62,6311.73988347
2019-11-30 13:00:00+00:00,47.86,48.22,48.2,47.98,1300.43013944
2019-11-30 12:00:00+00:00,47.89,48.29,47.97,48.2,532.85946461
2019-11-30 11:00:00+00:00,47.9,48.24,48.18,47.94,700.55784772
2019-11-30 10:00:00+00:00,47.95,48.75,48.42,48.17,4653.4388112
2019-11-30 09:00:00+00:00,48.07,48.48,48.48,48.37,1367.48997628
2019-11-30 08:00:00+00:00,48.5,48.69,48.62,48.5,831.21331325
2019-11-30 07:00:00+00:00,48.25,48.64,48.4,48.6,1762.05763853
2019-11-30 06:00:00+00:00,48.37,48.53,48.52,48.41,489.48598748
2019-11-30 05:00:00+00:00,48.27,48.65,48.32,48.51,2336.22013911
2019-11-30 04:00:00+00:00,47.93,48.39,48.39,48.35,3352.99817274
2019-11-30 03:00:00+00:00,48.12,48.42,48.41,48.33,1347.04883508
2019-11-30 02:00:00+00:00,48.41,48.61,48.52,48.43,1695.17972259
2019-11-30 01:00:00+00:00,48.52,48.83,48.68,48.56,1590.00006395
2019-11-30 00:00:00+00:00,48.4,48.68,48.65,48.67,1086.11758754
2019-11-29 23:00:00+00:00,48.4,48.72,48.67,48.68,1580.31041726
2019-11-29 22:00:00+00:00,48.46,48.81,48.46,48.65,2102.9884478
2019-11-29 21:00:00+00:00,48.38,49.21,49.15,48.46,4267.76522216
2019-11-29 20:00:00+00:00,48.89,49.35,48.91,49.15,5351.96080786
2019-11-29 19:00:00+00:00,48.54,48.96,48.65,48.87,3685.99327691
2019-11-29 18:00:00+00:00,48.61,48.97,48.8,48.65,3819.32794478
2019-11-29 17:00:00+00:00,48.6,48.95,48.6,48.8,1653.85774822
2019-11-29 16:00:00+00:00,48.44,49.3,49.08,48.6,9919.3295521
2019-11-29 15:00:00+00:00,48.67,49.15,48.82,49.07,4531.49795765
2019-11-29 14:00:00+00:00,48.55,48.99,48.73,48.83,4239.20961322
2019-11-29 13:00:00+00:00,48.46,49.36,48.67,48.74,11379.781704
2019-11-29 12:00:00+00:00,47.74,48.99,48.2,48.6,10861.67129515
2019-11-29 11:00:00+00:00,48.09,48.49,48.25,48.24,8042.50956769
2019-11-29 10:00:00+00:00,48.24,48.66,48.34,48.25,4766.23016567
2019-11-29 09:00:00+00:00,47.33,48.76,47.33,48.29,10334.64987558
2019-11-29 08:00:00+00:00,47.3,47.6,47.48,47.33,685.11111518
2019-11-29 07:00:00+00:00,47.15,47.69,47.39,47.52,2129.56820437
2019-11-29 06:00:00+00:00,47.07,47.39,47.1,47.39,1163.19437853
2019-11-29 05:00:00+00:00,47.02,47.47,47.44,47.08,3039.73415119
2019-11-29 04:00:00+00:00,47.38,47.59,47.53,47.4,607.34272039
2019-11-29 03:00:00+00:00,47.23,47.75,47.25,47.54,5385.43889608
2019-11-29 02:00:00+00:00,47.1,47.3,47.26,47.26,1276.54621966
2019-11-29 01:00:00+00:00,47.11,47.33,47.23,47.27,1820.93409419
2019-11-29 00:00:00+00:00,46.84,47.36,46.86,47.26,4083.48617798
2019-11-28 23:00:00+00:00,46.26,47.03,46.78,46.91,7066.89544366
2019-11-28 22:00:00+00:00,46.75,47.52,47.29,46.75,5038.829272
2019-11-28 21:00:00+00:00,47.18,47.53,47.51,47.3,1730.6903254
2019-11-28 20:00:00+00:00,47.45,47.8,47.79,47.5,2825.55514639
2019-11-28 19:00:00+00:00,47.68,47.89,47.7,47.8,1984.90449119
2019-11-28 18:00:00+00:00,47.65,47.91,47.65,47.74,1566.25932535
2019-11-28 17:00:00+00:00,47.59,47.88,47.78,47.67,2317.09196518
2019-11-28 16:00:00+00:00,47.39,47.92,47.53,47.75,4691.24451668
