date,low,high,open,close,volume
2019-11-30 20:00:00+00:00,0.2036,0.2047,0.204,0.2043,26187
2019-11-30 19:00:00+00:00,0.2037,0.2047,0.2038,0.2039,36846
2019-11-30 18:00:00+00:00,0.2037,0.2052,0.2045,0.2037,66544
2019-11-30 17:00:00+00:00,0.2036,0.2063,0.2063,0.2048,55916
2019-11-30 16:00:00+00:00,0.2046,0.2062,0.2047,0.206,22592
2019-11-30 15:00:00+00:00,0.2038,0.2051,0.2045,0.2044,85203
2019-11-30 14:00:00+00:00,0.2047,0.2069,0.2068,0.2047,82000
2019-11-30 13:00:00+00:00,0.2065,0.2077,0.2076,0.2065,57475
2019-11-30 12:00:00+00:00,0.2063,0.208,0.2063,0.2079,62291
2019-11-30 11:00:00+00:00,0.2065,0.2076,0.2076,0.2065,108847
2019-11-30 10:00:00+00:00,0.2069,0.2092,0.2084,0.2073,109124
2019-11-30 09:00:00+00:00,0.2069,0.2095,0.2095,0.2076,136812
2019-11-30 08:00:00+00:00,0.2092,0.2102,0.2102,0.2095,101925
2019-11-30 07:00:00+00:00,0.2092,0.2102,0.2093,0.2099,32451
2019-11-30 06:00:00+00:00,0.2086,0.2094,0.2093,0.2093,52888
2019-11-30 05:00:00+00:00,0.2083,0.2096,0.2083,0.2096,38045
2019-11-30 04:00:00+00:00,0.2081,0.2094,0.2087,0.2084,6341
2019-11-30 03:00:00+00:00,0.209,0.2094,0.2094,0.209,1924
2019-11-30 02:00:00+00:00,0.2094,0.2102,0.2102,0.2094,4666
2019-11-30 01:00:00+00:00,0.2098,0.2113,0.2098,0.2103,17182
2019-11-30 00:00:00+00:00,0.2094,0.2101,0.2094,0.2096,17195
2019-11-29 23:00:00+00:00,0.2084,0.2098,0.2084,0.2095,68912
2019-11-29 22:00:00+00:00,0.2079,0.2089,0.2079,0.2088,51640
2019-11-29 21:00:00+00:00,0.2078,0.2097,0.2095,0.2081,186955
2019-11-29 20:00:00+00:00,0.2089,0.2102,0.2091,0.2097,74217
2019-11-29 19:00:00+00:00,0.2091,0.2099,0.2097,0.2092,36403
2019-11-29 18:00:00+00:00,0.2088,0.2097,0.209,0.2096,51855
2019-11-29 17:00:00+00:00,0.2086,0.2096,0.2092,0.2087,37532
2019-11-29 16:00:00+00:00,0.2078,0.211,0.2103,0.2086,205288
2019-11-29 15:00:00+00:00,0.2101,0.2119,0.2112,0.2106,112331
2019-11-29 14:00:00+00:00,0.2096,0.2118,0.2106,0.2113,138776
2019-11-29 13:00:00+00:00,0.208,0.2109,0.2088,0.2106,154790
2019-11-29 12:00:00+00:00,0.2056,0.209,0.2078,0.2089,99360
2019-11-29 11:00:00+00:00,0.2067,0.2089,0.207,0.2079,47853
2019-11-29 10:00:00+00:00,0.2068,0.2078,0.207,0.2072,46063
2019-11-29 09:00:00+00:00,0.2052,0.2081,0.2055,0.207,102912
2019-11-29 08:00:00+00:00,0.2051,0.2072,0.2061,0.2052,84094
2019-11-29 07:00:00+00:00,0.2052,0.2072,0.2056,0.2061,527021
2019-11-29 06:00:00+00:00,0.204,0.2061,0.2045,0.2058,43719
2019-11-29 05:00:00+00:00,0.2041,0.2052,0.2052,0.2046,23344
2019-11-29 04:00:00+00:00,0.2048,0.2052,0.2051,0.2052,1806
2019-11-29 03:00:00+00:00,0.2049,0.2057,0.2049,0.2054,1203
2019-11-29 02:00:00+00:00,0.2043,0.2054,0.205,0.2046,9289
2019-11-29 01:00:00+00:00,0.2045,0.2055,0.2047,0.2052,7932
2019-11-29 00:00:00+00:00,0.2031,0.2053,0.2035,0.2049,16068
2019-11-28 23:00:00+00:00,0.2012,0.2044,0.2037,0.2036,202223
2019-11-28 22:00:00+00:00,0.2033,0.207,0.2065,0.2034,101002
2019-11-28 21:00:00+00:00,0.2057,0.2073,0.2073,0.2065,109518
2019-11-28 20:00:00+00:00,0.2071,0.2086,0.2085,0.2075,86605
2019-11-28 19:00:00+00:00,0.208,0.2089,0.2081,0.2083,50684
2019-11-28 18:00:00+00:00,0.2076,0.2089,0.2082,0.2082,152408
2019-11-28 17:00:00+00:00,0.2078,0.209,0.2088,0.2084,164222
2019-11-28 16:00:00+00:00,0.2067,0.2091,0.2083,0.2089,115571
2019-11-28 15:00:00+00:00,0.205,0.2088,0.2052,0.2083,250185
2019-11-28 14:00:00+00:00,0.2046,0.2058,0.205,0.2051,180219
2019-11-28 13:00:00+00:00,0.2046,0.2052,0.2048,0.2047,132472
2019-11-28 12:00:00+00:00,0.2048,0.2058,0.2058,0.205,77350
2019-11-28 11:00:00+00:00,0.2046,0.2057,0.205,0.2057,98407
2019-11-28 10:00:00+00:00,0.2043,0.206,0.206,0.205,447239
2019-11-28 09:00:00+00:00,0.2049,0.2062,0.2062,0.206,60292
2019-11-28 08:00:00+00:00,0.2057,0.2063,0.2058,0.2062,107263
2019-11-28 07:00:00+00:00,0.2055,0.2066,0.2064,0.2057,72680
2019-11-28 06:00:00+00:00,0.205,0.2068,0.2053,0.2065,47470
2019-11-28 05:00:00+00:00,0.205,0.2066,0.2066,0.2053,8484
2019-11-28 04:00:00+00:00,0.2062,0.2076,0.2062,0.207,19319
2019-11-28 03:00:00+00:00,0.2053,0.209,0.2056,0.2058,82307
2019-11-28 02:00:00+00:00,0.204,0.2056,0.204,0.2054,6583
2019-11-28 01:00:00+00:00,0.2038,0.2057,0.2055,0.2038,24966
2019-11-28 00:00:00+00:00,0.2045,0.2061,0.2049,0.2056,28391
2019-11-27 23:00:00+00:00,0.2041,0.2054,0.2053,0.2048,126917
2019-11-27 22:00:00+00:00,0.2051,0.207,0.2055,0.2054,80319
2019-11-27 21:00:00+00:00,0.2047,0.2063,0.2061,0.2055,65931
2019-11-27 20:00:00+00:00,0.2061,0.2093,0.2069,0.2061,103414
2019-11-27 19:00:00+00:00,0.2043,0.207,0.2045,0.207,167854
2019-11-27 18:00:00+00:00,0.2044,0.2079,0.2056,0.2047,308451
2019-11-27 17:00:00+00:00,0.2044,0.2086,0.2045,0.2056,658141
2019-11-27 16:00:00+00:00,0.2004,0.2053,0.2031,0.2048,330241
2019-11-27 15:00:00+00:00,0.2007,0.203,0.202,0.2027,155528
2019-11-27 14:00:00+00:00,0.2004,0.203,0.2013,0.2021,240507
2019-11-27 13:00:00+00:00,0.2,0.203,0.2,0.2014,161526
2019-11-27 12:00:00+00:00,0.199,0.2024,0.199,0.2001,233977
2019-11-27 11:00:00+00:00,0.1953,0.1996,0.1958,0.199,252304
2019-11-27 10:00:00+00:00,0.1945,0.1964,0.1951,0.1959,228748
2019-11-27 09:00:00+00:00,0.1938,0.1984,0.1984,0.1953,266555
2019-11-27 08:00:00+00:00,0.1983,0.1995,0.199,0.1983,112725
2019-11-27 07:00:00+00:00,0.1982,0.1997,0.1991,0.1987,90825
2019-11-27 06:00:00+00:00,0.1975,0.1993,0.1981,0.1993,36118
2019-11-27 05:00:00+00:00,0.1984,0.1994,0.1994,0.199,76903
2019-11-27 04:00:00+00:00,0.198,0.1997,0.1991,0.1996,45434
2019-11-27 03:00:00+00:00,0.1992,0.2014,0.2014,0.1992,31021
2019-11-27 02:00:00+00:00,0.2018,0.2038,0.2028,0.2026,50398
2019-11-27 01:00:00+00:00,0.2,0.2033,0.2007,0.2033,57470
2019-11-27 00:00:00+00:00,0.199,0.2007,0.2007,0.2006,56626
2019-11-26 23:00:00+00:00,0.2,0.2012,0.2003,0.2009,86081
2019-11-26 22:00:00+00:00,0.1989,0.2005,0.1998,0.2005,141405
2019-11-26 21:00:00+00:00,0.1985,0.2002,0.1986,0.1997,162111
2019-11-26 20:00:00+00:00,0.198,0.1991,0.1988,0.1986,77452
2019-11-26 19:00:00+00:00,0.1975,0.1997,0.1975,0.1986,123705
2019-11-26 18:00:00+00:00,0.1969,0.1979,0.1975,0.1976,119906
2019-11-26 17:00:00+00:00,0.1969,0.1979,0.1979,0.1975,45499
2019-11-26 16:00:00+00:00,0.1973,0.1984,0.1977,0.1978,124445
2019-11-26 15:00:00+00:00,0.1965,0.1981,0.1977,0.1976,45950
2019-11-26 14:00:00+00:00,0.1959,0.1983,0.196,0.1976,77903
2019-11-26 13:00:00+00:00,0.1955,0.1976,0.1976,0.196,171737
2019-11-26 12:00:00+00:00,0.1971,0.1999,0.1991,0.1977,168787
2019-11-26 11:00:00+00:00,0.197,0.1999,0.1996,0.1985,357267
2019-11-26 10:00:00+00:00,0.1988,0.1999,0.199,0.1999,128434
2019-11-26 09:00:00+00:00,0.1983,0.1994,0.1989,0.1992,142283
2019-11-26 08:00:00+00:00,0.1982,0.2008,0.1998,0.1989,204793
2019-11-26 07:00:00+00:00,0.1986,0.1998,0.1992,0.1998,101188
2019-11-26 06:00:00+00:00,0.1991,0.2014,0.201,0.1991,160413
2019-11-26 05:00:00+00:00,0.199,0.2017,0.199,0.2009,69245
2019-11-26 04:00:00+00:00,0.1984,0.2001,0.2001,0.1989,46095
2019-11-26 03:00:00+00:00,0.1979,0.2006,0.1984,0.2005,10518
2019-11-26 02:00:00+00:00,0.198,0.2,0.1989,0.198,105366
2019-11-26 01:00:00+00:00,0.1972,0.199,0.198,0.199,93320
2019-11-26 00:00:00+00:00,0.1946,0.199,0.1989,0.1977,135841
2019-11-25 23:00:00+00:00,0.1984,0.2013,0.2013,0.1984,85806
2019-11-25 22:00:00+00:00,0.2007,0.2016,0.2012,0.2013,91847
2019-11-25 21:00:00+00:00,0.1992,0.2013,0.1996,0.2012,171299
2019-11-25 20:00:00+00:00,0.199,0.2016,0.2006,0.1993,183558
2019-11-25 19:00:00+00:00,0.2001,0.2025,0.2017,0.2006,611056
2019-11-25 18:00:00+00:00,0.201,0.2019,0.2014,0.2017,117316
2019-11-25 17:00:00+00:00,0.1992,0.2017,0.2007,0.2013,103392
2019-11-25 16:00:00+00:00,0.2002,0.2048,0.2028,0.2003,371875
2019-11-25 15:00:00+00:00,0.2007,0.2034,0.201,0.203,250809
2019-11-25 14:00:00+00:00,0.1995,0.2016,0.2004,0.201,308730
2019-11-25 13:00:00+00:00,0.1995,0.205,0.2027,0.2004,403713
2019-11-25 12:00:00+00:00,0.1975,0.2039,0.1976,0.2024,1013482
2019-11-25 11:00:00+00:00,0.1953,0.1996,0.1995,0.1974,441093
2019-11-25 10:00:00+00:00,0.1929,0.1989,0.1951,0.1989,706043
2019-11-25 09:00:00+00:00,0.1926,0.1973,0.1926,0.1954,510257
2019-11-25 08:00:00+00:00,0.1904,0.194,0.1917,0.1926,309189
2019-11-25 07:00:00+00:00,0.1904,0.1937,0.1904,0.1917,437188
2019-11-25 06:00:00+00:00,0.1857,0.1916,0.1864,0.1911,284387
2019-11-25 05:00:00+00:00,0.1858,0.1924,0.1907,0.1864,406537
2019-11-25 04:00:00+00:00,0.1878,0.1928,0.189,0.1908,213797
2019-11-25 03:00:00+00:00,0.1891,0.1934,0.1929,0.1891,180029
2019-11-25 02:00:00+00:00,0.1916,0.1952,0.1917,0.193,144407
2019-11-25 01:00:00+00:00,0.182,0.2015,0.2002,0.1923,1265123
2019-11-25 00:00:00+00:00,0.1969,0.2013,0.2005,0.1997,334944
2019-11-24 23:00:00+00:00,0.199,0.2063,0.2061,0.2006,570061
2019-11-24 22:00:00+00:00,0.2052,0.2065,0.206,0.2062,73002
2019-11-24 21:00:00+00:00,0.2052,0.2067,0.2056,0.2062,81780
2019-11-24 20:00:00+00:00,0.204,0.2057,0.2052,0.2057,327068
2019-11-24 19:00:00+00:00,0.2048,0.2061,0.2057,0.2055,70247
2019-11-24 18:00:00+00:00,0.2053,0.2063,0.2057,0.2057,129018
2019-11-24 17:00:00+00:00,0.2041,0.2064,0.2041,0.206,233951
2019-11-24 16:00:00+00:00,0.2017,0.2056,0.204,0.2044,306815
